title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
Townhouse for sale,,Washington,DC,20001,"$695,000",,,,"3 bds, 3.0 ba ,2066 sqft","Long & Foster Real Estate, Inc.",https://www.zillow.com/homedetails/48-New-York-Ave-NW-B-Washington-DC-20001/2079776817_zpid/
Condo for sale,,Washington,DC,20001,"$685,000",673077,2000,0.3,"2 bds, 2.0 ba ,929 sqft",Samson Properties,https://www.zillow.com/homedetails/555-Massachusetts-Ave-NW-APT-703-Washington-DC-20001/68083547_zpid/
Auction,,Washington,DC,20001,$800K,800005,3950,0.49,"3 bds, 2.0 ba ,2422 sqft",Ashland Auction Group LLC,https://www.zillow.com/homedetails/618-R-St-NW-Washington-DC-20001/408760_zpid/
Townhouse for sale,,Washington,DC,20001,"$779,000",,,,"2 bds, 2.0 ba ,1136 sqft",Redfin Corp,https://www.zillow.com/homedetails/481-Ridge-St-NW-Washington-DC-20001/410874_zpid/
Condo for sale,,Washington,DC,20001,"$524,900",,2100,,"2 bds, 2.0 ba ,800 sqft",CENTURY 21 New Millennium,https://www.zillow.com/homedetails/30-Hanover-Pl-NW-1-Washington-DC-20001/2110982816_zpid/
Townhouse for sale,,Washington,DC,20001,"$799,000",,,,"3 bds, 3.0 ba ,1400 sqft",Redfin Corporation,https://www.zillow.com/homedetails/1314-1314-5th-St-NW-Washington-DC-20001/2073330198_zpid/
Condo for sale,,Washington,DC,20001,"$749,900",749907,2725,0.36,"3 bds, 2.0 ba ,1064 sqft",McWilliams/Ballard Inc.,https://www.zillow.com/homedetails/1550-11th-St-NW-APT-407-Washington-DC-20001/2090730081_zpid/
Under Contract,,Washington,DC,20001,"$665,000",686007,2999,0.44,"2 bds, 2.0 ba ,1028 sqft",Compass,https://www.zillow.com/homedetails/301-Massachusetts-Ave-NW-APT-401-Washington-DC-20001/88809164_zpid/
New construction,,Washington,DC,20001,"$699,900",699904,,,"2 bds, 3.0 ba ,None sqft",Compass,https://www.zillow.com/homedetails/1225-11th-St-NW-7-Washington-DC-20001/2075081478_zpid/
Townhouse for sale,,Washington,DC,20001,"$679,000",762479,3065,0.4,"2 bds, 3.0 ba ,1141 sqft","Long & Foster Real Estate, Inc.",https://www.zillow.com/homedetails/1606-5th-St-NW-1-Washington-DC-20001/124230845_zpid/
Condo for sale,,Washington,DC,20001,"$499,900",,,,"2 bds, 2.0 ba ,666 sqft",KW United,https://www.zillow.com/homedetails/301-Massachusetts-Ave-NW-APT-103-Washington-DC-20001/88805394_zpid/
Condo for sale,,Washington,DC,20001,"$734,000",,,,"2 bds, 2.0 ba ,1025 sqft",TTR Sotheby's International Realty,https://www.zillow.com/homedetails/2101-11th-St-NW-UNIT-201-Washington-DC-20001/123824954_zpid/
